regime,method,noise,h_profile,mean_absolute_error,max_absolute_error,count
var,Expanded LSE + graph control,N3,Hstep,0.05535723500570783,1.0308294984630793,144
var,Expanded LSE + graph zero,N1,Hbrn,3.2650577525287683,71.28148804634915,144
var,Expanded LSE + graph zero,N1,Hdec,2.9190154992526853,63.20704215226121,144
var,Expanded LSE + graph zero,N1,Hprbs,2.8508712425437768,54.17909175915895,144
var,Expanded LSE + graph zero,N1,Hsin,3.514814223872418,76.13889837120726,144
var,Expanded LSE + graph zero,N1,Hstep,3.9486016422172576,86.78001590486838,144
var,Expanded LSE + graph zero,N2,Hbrn,2.9765004438122538,63.38895900509719,144
var,Expanded LSE + graph zero,N2,Hdec,3.1554704295037026,67.03663366068861,144
var,Expanded LSE + graph zero,N2,Hprbs,2.153416969104013,39.307563623258,144
var,Expanded LSE + graph zero,N2,Hsin,2.65754007047107,56.18177381274965,144
var,Expanded LSE + graph zero,N2,Hstep,3.1703629223069774,66.00634329551546,144
var,Expanded LSE + graph zero,N3,Hbrn,0.07241047286948862,0.9347986638283826,144
var,Expanded LSE + graph zero,N3,Hdec,0.05276329305931568,0.9445567328755861,144
var,Expanded LSE + graph zero,N3,Hprbs,0.9709194555140814,28.84306873076348,144
var,Expanded LSE + graph zero,N3,Hsin,0.12450872927558258,2.0007015940794166,144
var,Expanded LSE + graph zero,N3,Hstep,0.05535723500570336,1.0308294984628388,144
var,LSTM sequence model,N1,Hbrn,0.012748418478836902,0.1523058623185375,144
var,LSTM sequence model,N1,Hdec,0.014267219024088833,0.14596656719168444,144
var,LSTM sequence model,N1,Hprbs,0.014210876954416089,0.13970155635794423,144
var,LSTM sequence model,N1,Hsin,0.012673875569216047,0.14694446531256455,144
var,LSTM sequence model,N1,Hstep,0.012562911574628991,0.1459050647130229,144
var,LSTM sequence model,N2,Hbrn,0.012252919363099045,0.13290346494635363,144
var,LSTM sequence model,N2,Hdec,0.014175334481355412,0.1495143643727519,144
var,LSTM sequence model,N2,Hprbs,0.013918321574251658,0.14641110793074386,144
var,LSTM sequence model,N2,Hsin,0.013134649730004397,0.14009401906635544,144
var,LSTM sequence model,N2,Hstep,0.013296482929472902,0.14693554964979905,144
var,LSTM sequence model,N3,Hbrn,0.00990551218834762,0.14678574050571702,144
var,LSTM sequence model,N3,Hdec,0.009104389457132121,0.1431989346852519,144
var,LSTM sequence model,N3,Hprbs,0.01007852909815755,0.13590172136928813,144
var,LSTM sequence model,N3,Hsin,0.009413812460300642,0.14155137170460008,144
var,LSTM sequence model,N3,Hstep,0.009214607538056712,0.13486291898395797,144
var,Linear residual DML,N1,Hbrn,0.0036638747762989723,0.049566706695475804,144
var,Linear residual DML,N1,Hdec,0.0042615650010034865,0.08058697721280061,144
var,Linear residual DML,N1,Hprbs,0.0035707366877849363,0.045143340834137624,144
var,Linear residual DML,N1,Hsin,0.00359130296499468,0.04926354629184371,144
var,Linear residual DML,N1,Hstep,0.0034931886319476057,0.043444245229156686,144
var,Linear residual DML,N2,Hbrn,0.003660920305123959,0.0511544190719877,144
var,Linear residual DML,N2,Hdec,0.0042380830093555226,0.08039744170815388,144
var,Linear residual DML,N2,Hprbs,0.0036513835441395995,0.045610782274529416,144
var,Linear residual DML,N2,Hsin,0.0036247754216806633,0.05039647192900076,144
var,Linear residual DML,N2,Hstep,0.0034847506107443756,0.04421981300850242,144
var,Linear residual DML,N3,Hbrn,0.0038666993067122293,0.05558302759457301,144
var,Linear residual DML,N3,Hdec,0.004354051963693748,0.08329228905786923,144
var,Linear residual DML,N3,Hprbs,0.003774583268373751,0.05351576767608934,144
var,Linear residual DML,N3,Hsin,0.003884831969105757,0.05583738439986807,144
var,Linear residual DML,N3,Hstep,0.0036694275322780687,0.051286370314446605,144
var,Linear residual DML + graph control,N1,Hbrn,0.05075063054414416,0.6099961013424452,144
var,Linear residual DML + graph control,N1,Hdec,0.061341014018763546,0.9783887713663797,144
