regime,method,noise,h_profile,direct_hidden_stage_mean_absolute_error,remaining_stage_mean_absolute_error,direct_over_remaining_ratio
var,Linear residual DML,N2,Hbrn,0.003257827315023095,0.003983394697204647,0.8178519987761393
var,Linear residual DML,N2,Hdec,0.0037875878056260657,0.004598479172339092,0.8236609678280759
var,Linear residual DML,N2,Hprbs,0.0033961809303035117,0.0038555456352084663,0.8808561100379462
var,Linear residual DML,N2,Hsin,0.0032746631593535583,0.0039048652315423456,0.8386110570223522
var,Linear residual DML,N2,Hstep,0.0031506145094889154,0.0037520594917487423,0.8397027063183616
var,Linear residual DML,N3,Hbrn,0.00374531568607495,0.003963806203222045,0.9448786075945156
var,Linear residual DML,N3,Hdec,0.00398398080976895,0.004650108886833586,0.8567500045104912
var,Linear residual DML,N3,Hprbs,0.003664899224830903,0.00386233050320803,0.9488828627655915
var,Linear residual DML,N3,Hsin,0.0037680415991724085,0.003978264265052436,0.9471571891976219
var,Linear residual DML,N3,Hstep,0.0035506862614901875,0.00376442054890837,0.9432225266435329
var,Linear residual DML + graph zero,N1,Hbrn,0.0033995840652767026,0.003875307345116786,0.877242438476645
var,Linear residual DML + graph zero,N1,Hdec,0.00383852701883547,0.0045999953867378995,0.8344632322680595
var,Linear residual DML + graph zero,N1,Hprbs,0.003335172142046496,0.003759188324375687,0.8872053896369744
var,Linear residual DML + graph zero,N1,Hsin,0.00328433796855253,0.0038368749621484005,0.8559929632717336
var,Linear residual DML + graph zero,N1,Hstep,0.0032102506178168394,0.0037195390432522174,0.8630775428048535
var,Linear residual DML + graph zero,N2,Hbrn,0.003257827315023095,0.003983394697204647,0.8178519987761393
var,Linear residual DML + graph zero,N2,Hdec,0.0037875878056260657,0.004598479172339092,0.8236609678280759
var,Linear residual DML + graph zero,N2,Hprbs,0.0033961809303035117,0.0038555456352084663,0.8808561100379462
var,Linear residual DML + graph zero,N2,Hsin,0.0032746631593535583,0.0039048652315423456,0.8386110570223522
var,Linear residual DML + graph zero,N2,Hstep,0.0031506145094889154,0.0037520594917487423,0.8397027063183616
var,Linear residual DML + graph zero,N3,Hbrn,0.00374531568607495,0.003963806203222045,0.9448786075945156
var,Linear residual DML + graph zero,N3,Hdec,0.00398398080976895,0.004650108886833586,0.8567500045104912
var,Linear residual DML + graph zero,N3,Hprbs,0.003664899224830903,0.00386233050320803,0.9488828627655915
var,Linear residual DML + graph zero,N3,Hsin,0.0037680415991724085,0.003978264265052436,0.9471571891976219
var,Linear residual DML + graph zero,N3,Hstep,0.0035506862614901875,0.00376442054890837,0.9432225266435329
var,Linear residual DML + graph control,N1,Hbrn,0.05211447561735916,0.04965955448557211,1.0494350212606174
var,Linear residual DML + graph control,N1,Hdec,0.06289210062514111,0.06010014473366147,1.046455061029427
var,Linear residual DML + graph control,N1,Hprbs,0.06688193433283707,0.05658034011528181,1.182070206657752
var,Linear residual DML + graph control,N1,Hsin,0.07248164362026407,0.05762412988093448,1.2578349342546056
var,Linear residual DML + graph control,N1,Hstep,0.05756363009087932,0.0514406414228924,1.1190301772804496
var,Linear residual DML + graph control,N2,Hbrn,0.050467119662053604,0.048430492225281015,1.0420525859472776
var,Linear residual DML + graph control,N2,Hdec,0.06123396927460868,0.05851783650437452,1.0464154680433395
var,Linear residual DML + graph control,N2,Hprbs,0.06500004931878474,0.05589606464945281,1.1628734460364385
var,Linear residual DML + graph control,N2,Hsin,0.07163829359972619,0.055581935023804596,1.288877286640794
var,Linear residual DML + graph control,N2,Hstep,0.056234628291281216,0.05019922920999213,1.1202289193732828
var,Linear residual DML + graph control,N3,Hbrn,0.12368110035767749,0.12065680083327004,1.0250653050928027
var,Linear residual DML + graph control,N3,Hdec,0.11857669844775132,0.12779215019932436,0.9278871844851253
var,Linear residual DML + graph control,N3,Hprbs,0.13800993830287717,0.11864583246953649,1.1632093216448425
var,Linear residual DML + graph control,N3,Hsin,0.13456128938076256,0.12207291933426967,1.102302542731007
var,Linear residual DML + graph control,N3,Hstep,0.1280267517276804,0.1384142668845085,0.9249534358658611
var,Expanded DML,N1,Hbrn,0.009243898484611202,0.009059437992561033,1.0203611407464386
var,Expanded DML,N1,Hdec,0.009173947588281025,0.009239380885694776,0.9929179997855634
var,Expanded DML,N1,Hprbs,0.008863212516749557,0.009212824305712025,0.9620516165986466
var,Expanded DML,N1,Hsin,0.009348208786878592,0.009001133950333825,1.0385590125044073
var,Expanded DML,N1,Hstep,0.009415037340847858,0.00910157958535934,1.0344399290857975
var,Expanded DML,N2,Hbrn,0.009357378125613328,0.00912317848391425,1.0256708385254123
var,Expanded DML,N2,Hdec,0.009192885046210032,0.009328361679701058,0.9854769102932802
var,Expanded DML,N2,Hprbs,0.008894919939609608,0.009305625018039207,0.955864858337464
var,Expanded DML,N2,Hsin,0.009409790820785774,0.009124751238101858,1.031238066139676
var,Expanded DML,N2,Hstep,0.009328586385005036,0.009150904774322281,1.019416835281833
var,Expanded DML,N3,Hbrn,0.006290010436075359,0.006120113233934744,1.0277604671100808
var,Expanded DML,N3,Hdec,0.006144600555396991,0.006211457762063893,0.9892364708530695
var,Expanded DML,N3,Hprbs,0.006195692297523073,0.006465230608267603,0.9583095596930681
var,Expanded DML,N3,Hsin,0.006332735406358067,0.00639478090540882,0.9902974785268602
var,Expanded DML,N3,Hstep,0.006381593881715847,0.006547082541393698,0.9747232971890066
var,Expanded DML + graph zero,N1,Hbrn,0.009243898484611202,0.009059437992561033,1.0203611407464386
var,Expanded DML + graph zero,N1,Hdec,0.009173947588281025,0.009239380885694776,0.9929179997855634
var,Expanded DML + graph zero,N1,Hprbs,0.008863212516749557,0.009212824305712025,0.9620516165986466
var,Expanded DML + graph zero,N1,Hsin,0.009348208786878592,0.009001133950333825,1.0385590125044073
var,Expanded DML + graph zero,N1,Hstep,0.009415037340847858,0.00910157958535934,1.0344399290857975
var,Expanded DML + graph zero,N2,Hbrn,0.009357378125613328,0.00912317848391425,1.0256708385254123
var,Expanded DML + graph zero,N2,Hdec,0.009192885046210032,0.009328361679701058,0.9854769102932802
var,Expanded DML + graph zero,N2,Hprbs,0.008894919939609608,0.009305625018039207,0.955864858337464
var,Expanded DML + graph zero,N2,Hsin,0.009409790820785774,0.009124751238101858,1.031238066139676
var,Expanded DML + graph zero,N2,Hstep,0.009328586385005036,0.009150904774322281,1.019416835281833
var,Expanded DML + graph zero,N3,Hbrn,0.006290010436075359,0.006120113233934744,1.0277604671100808
var,Expanded DML + graph zero,N3,Hdec,0.006144600555396991,0.006211457762063893,0.9892364708530695
var,Expanded DML + graph zero,N3,Hprbs,0.006195692297523073,0.006465230608267603,0.9583095596930681
var,Expanded DML + graph zero,N3,Hsin,0.006332735406358067,0.00639478090540882,0.9902974785268602
var,Expanded DML + graph zero,N3,Hstep,0.006381593881715847,0.006547082541393698,0.9747232971890066
var,Expanded DML + graph control,N1,Hbrn,0.10895114036908163,0.09170141963294673,1.1881074557534699
var,Expanded DML + graph control,N1,Hdec,0.10911690669816493,0.09442340532062116,1.1556129153322843
var,Expanded DML + graph control,N1,Hprbs,0.11477681075215876,0.09563473795938582,1.200158155929723
var,Expanded DML + graph control,N1,Hsin,0.11050097244642104,0.09768771556257863,1.1311654880048276
var,Expanded DML + graph control,N1,Hstep,0.10947123264406444,0.09277048598278259,1.180022196546231
var,Expanded DML + graph control,N2,Hbrn,0.10369073450571084,0.09290186750646637,1.116131863533244
var,Expanded DML + graph control,N2,Hdec,0.1044425808498835,0.09389380570768359,1.1123479345915646
var,Expanded DML + graph control,N2,Hprbs,0.10718997652133144,0.09399236441088969,1.1404115344172863
var,Expanded DML + graph control,N2,Hsin,0.10780967701990521,0.09757400586958823,1.1049016186134388
var,Expanded DML + graph control,N2,Hstep,0.10751737973795483,0.08928213511014124,1.2042429272700301
var,Expanded DML + graph control,N3,Hbrn,0.2043758301221103,0.12967240784523876,1.5760934305008703
var,Expanded DML + graph control,N3,Hdec,0.18959084700890091,0.13172598725525095,1.4392820350742395
var,Expanded DML + graph control,N3,Hprbs,0.20599342431173304,0.13349500641697992,1.5430796240295297
var,Expanded DML + graph control,N3,Hsin,0.21764200071250858,0.14618534443923809,1.4888086185887905
var,Expanded DML + graph control,N3,Hstep,0.1840081188295676,0.12553850309433903,1.4657504613647505
var,RBF GP,N1,Hbrn,0.002587430075929707,0.0023529708645088324,1.0996439076052122
var,RBF GP,N1,Hdec,0.002709671987546364,0.0025339187368611923,1.0693602553738089
var,RBF GP,N1,Hprbs,0.003021747758577636,0.0028703395600928176,1.052749228903051
var,RBF GP,N1,Hsin,0.002513632408283688,0.002396069198283252,1.0490650312122323
var,RBF GP,N1,Hstep,0.002811146543848564,0.002502662031495649,1.1232625534213891
var,RBF GP,N2,Hbrn,0.00256818902058222,0.0023904576541626302,1.074350351327118
var,RBF GP,N2,Hdec,0.003397347290994651,0.003874336501435463,0.8768849297772444
var,RBF GP,N2,Hprbs,0.003223745375584456,0.003005822262915822,1.0725003322243132
var,RBF GP,N2,Hsin,0.0025554154047935825,0.002392811709729096,1.0679550732735654
var,RBF GP,N2,Hstep,0.002852125887267335,0.002490312897845355,1.145288164284506
var,RBF GP,N3,Hbrn,0.8090054536361372,0.6334901955036157,1.277060733344088
var,RBF GP,N3,Hdec,0.9656931228957122,0.8224626362552211,1.1741483203329917
var,RBF GP,N3,Hprbs,0.7659053370665585,0.5366609403329117,1.4271680301373109
var,RBF GP,N3,Hsin,0.8176901386439145,0.20952909067401562,3.902513660578392
var,RBF GP,N3,Hstep,0.7651295875495244,0.6184149080874507,1.237243115493145
var,Matern GP,N1,Hbrn,0.003227090546521656,0.002669996833177305,1.2086495783148206
var,Matern GP,N1,Hdec,0.009851287668550219,0.007995081875581015,1.2321684532885802
var,Matern GP,N1,Hprbs,0.00281170457257235,0.0030115709012816386,0.933633862438958
var,Matern GP,N1,Hsin,0.0027280153262866516,0.0026738661404505856,1.0202512702550401
