regime,method,noise,h_profile,mean_absolute_error,max_absolute_error,count
var,Expanded LSE + graph zero,N3,Hstep,0.42026082790034813,0.8405216558006963,2
var,LSTM sequence model,N1,Hbrn,0.6012730127772474,1.1909520540849499,2
var,LSTM sequence model,N1,Hdec,0.6008897793926051,1.1917834865849253,2
var,LSTM sequence model,N1,Hprbs,0.5974053075212897,1.1855715967826406,2
var,LSTM sequence model,N1,Hsin,0.6087886211223794,1.206264111706024,2
var,LSTM sequence model,N1,Hstep,0.601205794452911,1.1870859050778004,2
var,LSTM sequence model,N2,Hbrn,0.6036797975564288,1.197838765745371,2
var,LSTM sequence model,N2,Hdec,0.601056070401168,1.1901614102804716,2
var,LSTM sequence model,N2,Hprbs,0.6052679257467186,1.2004185509259127,2
var,LSTM sequence model,N2,Hsin,0.607722569507733,1.2030351684030778,2
var,LSTM sequence model,N2,Hstep,0.6019200960765961,1.188952957034589,2
var,LSTM sequence model,N3,Hbrn,0.5773372910029879,1.1508800077240702,2
var,LSTM sequence model,N3,Hdec,0.5832832657563832,1.1615403529860218,2
var,LSTM sequence model,N3,Hprbs,0.5490818162029516,1.0520198715435165,2
var,LSTM sequence model,N3,Hsin,0.5869411888089024,1.1712839321397666,2
var,LSTM sequence model,N3,Hstep,0.5894036189659366,1.1734434944530983,2
var,Linear residual DML,N1,Hbrn,0.580075900399633,1.147063394942068,2
var,Linear residual DML,N1,Hdec,0.5775056454578695,1.1380085639768707,2
var,Linear residual DML,N1,Hprbs,0.5802829749631505,1.1463496456810272,2
var,Linear residual DML,N1,Hsin,0.5796176481972574,1.1452388731512568,2
var,Linear residual DML,N1,Hstep,0.5767218059809722,1.1354854878064087,2
var,Linear residual DML,N2,Hbrn,0.580455909406343,1.1459976283678235,2
var,Linear residual DML,N2,Hdec,0.5768364294962768,1.1377452225388613,2
var,Linear residual DML,N2,Hprbs,0.5822698025627236,1.1493610046049623,2
var,Linear residual DML,N2,Hsin,0.5796190676075956,1.1460787007247402,2
var,Linear residual DML,N2,Hstep,0.5774844220709423,1.1368736960025574,2
var,Linear residual DML,N3,Hbrn,0.5811623718470506,1.1376502944204496,2
var,Linear residual DML,N3,Hdec,0.5785921169052868,1.1285954634552517,2
var,Linear residual DML,N3,Hprbs,0.581369446410568,1.1369365451594085,2
var,Linear residual DML,N3,Hsin,0.5807041196446748,1.1358257726296381,2
var,Linear residual DML,N3,Hstep,0.5778082774283897,1.1260723872847902,2
var,Linear residual DML + graph control,N1,Hbrn,0.573531697471034,1.147063394942068,2
var,Linear residual DML + graph control,N1,Hdec,0.5690042819884353,1.1380085639768707,2
var,Linear residual DML + graph control,N1,Hprbs,0.5731748228405136,1.1463496456810272,2
