"method","variant","system","output","input","value","local_gradient_std","sample_count","allowed_by_graph","controls","runtime_seconds","basis_terms","operating_input","basis_coefficients","raw_value","source_row_index","X1A","Y1A","X2A","Y2A","X3A","Y3A","X4A","Y4A","X5A","Y5A","X1B","Y1B","X2B","Y2B","X3B","Y3B","X4B","Y4B","s1","c1","s2","c2","s3","c3","L_A","G_A","X0_A","Y6_A","L_B","G_B","X0_B","Y5_B","H1","H2","H3","time_hours","kernel","fd_relative_step","ridge_alpha","epochs","hidden","layers","batch_size","learning_rate","window","ss_max_steps","ss_steps_done","ss_residual_mean","ss_residual_max","pinv_rcond","depth","ridge","solve_method"
"dml_basis","graph_control","multi_stage","X2A","L_B","-0.00042146939853222876","0.0003432984637343032","500","True","[""G_A"", ""G_B"", ""L_A"", ""X0_A"", ""X0_B"", ""X1A"", ""X1B"", ""X2B"", ""X3A"", ""X3B"", ""X4A"", ""X4B"", ""X5A"", ""Y1A"", ""Y1B"", ""Y2A"", ""Y2B"", ""Y3A"", ""Y3B"", ""Y4A"", ""Y4B"", ""Y5A"", ""Y5_B"", ""Y6_A""]","4294.626649165992","linear,square,cube,tanh,signed_log1p","7.617146791264194","{""linear"": -0.02131472022929003, ""square"": -0.001239262151663073, ""cube"": 9.185570264937482e-05, ""tanh"": -213.29013899624033, ""signed_log1p"": 0.20672834675423524}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"dml_basis","graph_control","multi_stage","X2A","G_B","0.00011646783533133468","0.0001818233565624431","500","True","[""G_A"", ""L_A"", ""L_B"", ""X0_A"", ""X0_B"", ""X1A"", ""X1B"", ""X2B"", ""X3A"", ""X3B"", ""X4A"", ""X4B"", ""X5A"", ""Y1A"", ""Y1B"", ""Y2A"", ""Y2B"", ""Y3A"", ""Y3B"", ""Y4A"", ""Y4B"", ""Y5A"", ""Y5_B"", ""Y6_A""]","4294.626649165992","linear,square,cube,tanh,signed_log1p","49.870933865247906","{""linear"": 0.0028575947274232, ""square"": -2.3965023627411583e-05, ""cube"": 1.078867621387948e-08, ""tanh"": 0.0, ""signed_log1p"": -0.021941068734090338}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"dml_basis","graph_control","multi_stage","X2A","X0_B","-0.014194541105274405","0.006475724469225685","500","True","[""G_A"", ""G_B"", ""L_A"", ""L_B"", ""X0_A"", ""X1A"", ""X1B"", ""X2B"", ""X3A"", ""X3B"", ""X4A"", ""X4B"", ""X5A"", ""Y1A"", ""Y1B"", ""Y2A"", ""Y2B"", ""Y3A"", ""Y3B"", ""Y4A"", ""Y4B"", ""Y5A"", ""Y5_B"", ""Y6_A""]","4294.626649165992","linear,square,cube,tanh,signed_log1p","0.5971993811738601","{""linear"": -0.27412668211265256, ""square"": 0.05341389263398464, ""cube"": 0.040034672313248455, ""tanh"": 0.8928071506663828, ""signed_log1p"": -0.7729042753156472}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"dml_basis","graph_control","multi_stage","X2A","Y5_B","-0.10280876884521462","0.07039291173122872","500","True","[""G_A"", ""G_B"", ""L_A"", ""L_B"", ""X0_A"", ""X0_B"", ""X1A"", ""X1B"", ""X2B"", ""X3A"", ""X3B"", ""X4A"", ""X4B"", ""X5A"", ""Y1A"", ""Y1B"", ""Y2A"", ""Y2B"", ""Y3A"", ""Y3B"", ""Y4A"", ""Y4B"", ""Y5A"", ""Y6_A""]","4294.626649165992","linear,square,cube,tanh,signed_log1p","0.07703378391915479","{""linear"": -2.9395408597472565, ""square"": 0.23571975175007728, ""cube"": -0.296744534757718, ""tanh"": 0.7968252498585788, ""signed_log1p"": 2.1686966801339853}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"dml_basis","graph_control","multi_stage","Y2A","L_A","-0.00012970969544606227","0.0005117878568245359","500","True","[""G_A"", ""G_B"", ""L_B"", ""X0_A"", ""X0_B"", ""X1A"", ""X1B"", ""X2A"", ""X2B"", ""X3A"", ""X3B"", ""X4A"", ""X4B"", ""X5A"", ""Y1A"", ""Y1B"", ""Y2B"", ""Y3A"", ""Y3B"", ""Y4A"", ""Y4B"", ""Y5A"", ""Y5_B"", ""Y6_A""]","4294.626649165992","linear,square,cube,tanh,signed_log1p","8.053537154450346","{""linear"": -0.015257055595130221, ""square"": 0.0013158586952911543, ""cube"": -5.369947839502566e-05, ""tanh"": 23.766282683635538, ""signed_log1p"": 0.03958077770404597}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"dml_basis","graph_control","multi_stage","Y2A","G_A","-0.00035958347454642214","0.00026345067730320455","500","True","[""G_B"", ""L_A"", ""L_B"", ""X0_A"", ""X0_B"", ""X1A"", ""X1B"", ""X2A"", ""X2B"", ""X3A"", ""X3B"", ""X4A"", ""X4B"", ""X5A"", ""Y1A"", ""Y1B"", ""Y2B"", ""Y3A"", ""Y3B"", ""Y4A"", ""Y4B"", ""Y5A"", ""Y5_B"", ""Y6_A""]","4294.626649165992","linear,square,cube,tanh,signed_log1p","51.186953140919925","{""linear"": -0.0012233427268085449, ""square"": -2.065106307560699e-05, ""cube"": 3.1706662033120575e-07, ""tanh"": 0.0, ""signed_log1p"": 0.025344412397899294}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"dml_basis","graph_control","multi_stage","Y2A","X0_A","-0.007892358328585536","0.004360578696297658","500","True","[""G_A"", ""G_B"", ""L_A"", ""L_B"", ""X0_B"", ""X1A"", ""X1B"", ""X2A"", ""X2B"", ""X3A"", ""X3B"", ""X4A"", ""X4B"", ""X5A"", ""Y1A"", ""Y1B"", ""Y2B"", ""Y3A"", ""Y3B"", ""Y4A"", ""Y4B"", ""Y5A"", ""Y5_B"", ""Y6_A""]","4294.626649165992","linear,square,cube,tanh,signed_log1p","0.5948321958993195","{""linear"": 0.478059274709828, ""square"": -0.20884014909915585, ""cube"": 0.08620736084126057, ""tanh"": 0.05180152256335546, ""signed_log1p"": -0.583827031875033}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"dml_basis","graph_control","multi_stage","Y2A","Y6_A","0.1087079992762896","0.1297102839363125","500","True","[""G_A"", ""G_B"", ""L_A"", ""L_B"", ""X0_A"", ""X0_B"", ""X1A"", ""X1B"", ""X2A"", ""X2B"", ""X3A"", ""X3B"", ""X4A"", ""X4B"", ""X5A"", ""Y1A"", ""Y1B"", ""Y2B"", ""Y3A"", ""Y3B"", ""Y4A"", ""Y4B"", ""Y5A"", ""Y5_B""]","4294.626649165992","linear,square,cube,tanh,signed_log1p","0.0752340793839252","{""linear"": -2.1769698412109184, ""square"": -0.7329262947461173, ""cube"": 8.338770727484963, ""tanh"": 3.4242508561650116, ""signed_log1p"": -1.237141229782955}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"dml_basis","graph_control","multi_stage","Y2A","L_B","-0.00027131339624411025","0.001528761124100532","500","True","[""G_A"", ""G_B"", ""L_A"", ""X0_A"", ""X0_B"", ""X1A"", ""X1B"", ""X2A"", ""X2B"", ""X3A"", ""X3B"", ""X4A"", ""X4B"", ""X5A"", ""Y1A"", ""Y1B"", ""Y2B"", ""Y3A"", ""Y3B"", ""Y4A"", ""Y4B"", ""Y5A"", ""Y5_B"", ""Y6_A""]","4294.626649165992","linear,square,cube,tanh,signed_log1p","7.617146791264194","{""linear"": 0.015411566804243897, ""square"": -0.00028818732723888277, ""cube"": -5.11055270057827e-05, ""tanh"": -215.84271880777698, ""signed_log1p"": -0.018854636878701717}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"dml_basis","graph_control","multi_stage","Y2A","G_B","-5.7769169800418784e-05","4.047097714029192e-05","500","True","[""G_A"", ""L_A"", ""L_B"", ""X0_A"", ""X0_B"", ""X1A"", ""X1B"", ""X2A"", ""X2B"", ""X3A"", ""X3B"", ""X4A"", ""X4B"", ""X5A"", ""Y1A"", ""Y1B"", ""Y2B"", ""Y3A"", ""Y3B"", ""Y4A"", ""Y4B"", ""Y5A"", ""Y5_B"", ""Y6_A""]","4294.626649165992","linear,square,cube,tanh,signed_log1p","49.870933865247906","{""linear"": 0.0008070937261433474, ""square"": 3.0451632358945566e-05, ""cube"": -3.139487581827599e-07, ""tanh"": 0.0, ""signed_log1p"": -0.07934289970945892}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
