regime,method,noise,h_profile,mean_absolute_error,max_absolute_error,count
var,Linear state-space estimator,N2,Hstep,0.26249838334712455,1.6460960695870153,24
var,Linear state-space estimator,N3,Hbrn,0.5988092782544779,2.5243763381722637,24
var,Linear state-space estimator,N3,Hdec,0.841485755392324,3.293784320056544,24
var,Linear state-space estimator,N3,Hprbs,0.7565652635024209,3.277253908679474,24
var,Linear state-space estimator,N3,Hsin,0.6259200067291929,1.5649882264320345,24
var,Linear state-space estimator,N3,Hstep,0.6041382865719834,3.0089301203320336,24
var,Matern GP,N1,Hbrn,0.03771827513670296,0.20566995511886788,24
var,Matern GP,N1,Hdec,0.543503825795429,3.7128906916303253,24
var,Matern GP,N1,Hprbs,0.2482906462104275,2.28517628311138,24
var,Matern GP,N1,Hsin,0.013619476366440933,0.06359764993751682,24
var,Matern GP,N1,Hstep,1.2840326656496739,12.523860580833961,24
var,Matern GP,N2,Hbrn,0.03642135970344456,0.19508674102601553,24
var,Matern GP,N2,Hdec,0.537910872936901,3.714133180956429,24
var,Matern GP,N2,Hprbs,0.2503397271254814,2.4131418676382315,24
var,Matern GP,N2,Hsin,0.010437406043579822,0.048904464232455425,24
var,Matern GP,N2,Hstep,1.3061539941504041,12.75295995660128,24
var,Matern GP,N3,Hbrn,1.0477207746966273,4.2905499150338695,24
var,Matern GP,N3,Hdec,0.5762572930569664,3.552713848376136,24
var,Matern GP,N3,Hprbs,0.8117818887926251,8.470665902237117,24
var,Matern GP,N3,Hsin,0.8482975435040673,3.848171129867236,24
var,Matern GP,N3,Hstep,0.3964628520032316,2.2955737150485263,24
var,Neural ODE,N1,Hbrn,0.0748090348234955,0.4221241938950797,24
var,Neural ODE,N1,Hdec,0.2121152676553175,0.7076541669408792,24
var,Neural ODE,N1,Hprbs,0.7227082958858689,3.5321247030107035,24
var,Neural ODE,N1,Hsin,0.26987969963054376,1.34251277276209,24
var,Neural ODE,N1,Hstep,0.26244741179272935,0.9987398966164616,24
var,Neural ODE,N2,Hbrn,0.07804681409875101,0.23891561849207665,24
var,Neural ODE,N2,Hdec,0.2002291742164205,0.6558581094086424,24
var,Neural ODE,N2,Hprbs,0.6811916918124362,3.462548292298157,24
var,Neural ODE,N2,Hsin,0.949108246558434,3.4132194647521072,24
var,Neural ODE,N2,Hstep,0.2693072908885328,1.2352021405940956,24
var,Neural ODE,N3,Hbrn,2.4419819101761173,6.944981798899283,24
var,Neural ODE,N3,Hdec,1.9117043760939858,5.250318467679732,24
var,Neural ODE,N3,Hprbs,2.9885979965473877,8.288429261888453,24
var,Neural ODE,N3,Hsin,1.3126302647458135,4.924043496992298,24
var,Neural ODE,N3,Hstep,3.304420520414481,19.306400943066805,24
var,RBF GP,N1,Hbrn,0.029387987226589408,0.21958509456469955,24
var,RBF GP,N1,Hdec,0.5591967637571077,3.883097962775583,24
var,RBF GP,N1,Hprbs,1.139436587746949,4.448971301919723,24
var,RBF GP,N1,Hsin,0.018655096489162016,0.09404820404624559,24
var,RBF GP,N1,Hstep,2.332766005284872,39.788700286461456,24
var,RBF GP,N2,Hbrn,0.028673076452076573,0.21450702438725067,24
var,RBF GP,N2,Hdec,0.5556257112321102,3.8794004976346796,24
var,RBF GP,N2,Hprbs,1.1428865584057302,4.526144334529963,24
var,RBF GP,N2,Hsin,0.017051444802017417,0.08691875386991832,24
var,RBF GP,N2,Hstep,0.9930109189961991,4.395043269586608,24
var,RBF GP,N3,Hbrn,1.4336135888466295,7.948198470421616,24
var,RBF GP,N3,Hdec,6.464725081818983,116.51367184425683,24
var,RBF GP,N3,Hprbs,10.043999601635827,146.7195646245435,24
var,RBF GP,N3,Hsin,6.4133257531042345,122.04152632471823,24
var,RBF GP,N3,Hstep,7.849267807694897,154.81435717169293,24
zero,Average LSE,N1,Hbrn,0.10871572989616314,0.3614581654433735,24
zero,Average LSE,N1,Hdec,0.10192520070815547,0.2985465942527714,24
zero,Average LSE,N1,Hprbs,0.13033896615483337,0.4361262774108887,24
zero,Average LSE,N1,Hsin,0.10570280573207712,0.3403210735862725,24
zero,Average LSE,N1,Hstep,0.09565137413104548,0.29417617566664056,24
zero,Average LSE,N2,Hbrn,0.10368128152856686,0.35847745427606625,24
zero,Average LSE,N2,Hdec,0.09919078229505622,0.3073644884614808,24
zero,Average LSE,N2,Hprbs,0.1277478575553949,0.4072051087500377,24
zero,Average LSE,N2,Hsin,0.10463067659345164,0.3357626544994723,24
zero,Average LSE,N2,Hstep,0.09202394172024937,0.27860493131883146,24
zero,Average LSE,N3,Hbrn,0.13202827782146417,0.439519788743322,24
zero,Average LSE,N3,Hdec,0.10630812905931676,0.37380724914735275,24
zero,Average LSE,N3,Hprbs,0.08666002050819462,0.24826704427128732,24
zero,Average LSE,N3,Hsin,0.11267084810385712,0.34807547799058725,24
zero,Average LSE,N3,Hstep,0.10277617252467541,0.3712460536614124,24
zero,Average LSE + graph control,N1,Hbrn,0.1932353555509484,1.1097615623026655,24
zero,Average LSE + graph control,N1,Hdec,0.14928680965277327,0.8862318681717074,24
zero,Average LSE + graph control,N1,Hprbs,0.17755925385106178,0.8369205251060432,24
zero,Average LSE + graph control,N1,Hsin,0.277638414958929,0.8743220713498339,24
zero,Average LSE + graph control,N1,Hstep,0.1781246787050502,0.9341159488904758,24
zero,Average LSE + graph control,N2,Hbrn,0.18990134578266474,1.2516972418575296,24
zero,Average LSE + graph control,N2,Hdec,0.17337768228186068,0.94925775590014,24
zero,Average LSE + graph control,N2,Hprbs,0.18063512996150388,0.875407179947052,24
zero,Average LSE + graph control,N2,Hsin,0.31751373917676035,0.9687896608279836,24
zero,Average LSE + graph control,N2,Hstep,0.18846267457402913,1.0807663709761712,24
zero,Average LSE + graph control,N3,Hbrn,0.22451531115433307,0.8800063071796327,24
zero,Average LSE + graph control,N3,Hdec,0.11416684383533059,0.4475382372487484,24
zero,Average LSE + graph control,N3,Hprbs,0.12302106732723157,0.46368058752661057,24
zero,Average LSE + graph control,N3,Hsin,0.253321566493905,0.7700949702767921,24
zero,Average LSE + graph control,N3,Hstep,0.11927757055293868,0.46297632900445684,24
zero,Average LSE + graph zero,N1,Hbrn,0.1031965529209196,0.3614581654433735,24
zero,Average LSE + graph zero,N1,Hdec,0.09505244423162762,0.2985465942527714,24
zero,Average LSE + graph zero,N1,Hprbs,0.12887065778768034,0.4361262774108887,24
zero,Average LSE + graph zero,N1,Hsin,0.10182872175424486,0.3403210735862725,24
zero,Average LSE + graph zero,N1,Hstep,0.09337889041513316,0.29417617566664056,24
zero,Average LSE + graph zero,N2,Hbrn,0.10368128152856686,0.35847745427606625,24
zero,Average LSE + graph zero,N2,Hdec,0.09731758837189936,0.3073644884614808,24
zero,Average LSE + graph zero,N2,Hprbs,0.1277478575553949,0.4072051087500377,24
zero,Average LSE + graph zero,N2,Hsin,0.10463067659345164,0.3357626544994723,24
zero,Average LSE + graph zero,N2,Hstep,0.09202394172024937,0.27860493131883146,24
zero,Average LSE + graph zero,N3,Hbrn,0.13202827782146417,0.439519788743322,24
zero,Average LSE + graph zero,N3,Hdec,0.10347389424700378,0.37380724914735275,24
zero,Average LSE + graph zero,N3,Hprbs,0.07688710801488226,0.24826704427128732,24
zero,Average LSE + graph zero,N3,Hsin,0.11267084810385712,0.34807547799058725,24
zero,Average LSE + graph zero,N3,Hstep,0.10277617252467541,0.3712460536614124,24
zero,Expanded DML,N1,Hbrn,5.678184003413683,14.571853061701404,24
zero,Expanded DML,N1,Hdec,23.729281315100668,87.21182753704488,24
zero,Expanded DML,N1,Hprbs,10.248366101530488,54.33355569047853,24
zero,Expanded DML,N1,Hsin,9.557929536956502,46.73493823595345,24
zero,Expanded DML,N1,Hstep,19.783925556769873,88.5818434668472,24
zero,Expanded DML,N2,Hbrn,5.899019127892493,20.111195884557677,24
zero,Expanded DML,N2,Hdec,23.59963132001543,87.86375221377239,24
zero,Expanded DML,N2,Hprbs,10.10223149616426,54.597602696710965,24
zero,Expanded DML,N2,Hsin,9.385391737433622,46.19666164251976,24
zero,Expanded DML,N2,Hstep,19.720646989060203,89.18011835147627,24
zero,Expanded DML,N3,Hbrn,31.365923630026145,142.59778778185137,24
zero,Expanded DML,N3,Hdec,54.1049388667891,196.8258435584139,24
zero,Expanded DML,N3,Hprbs,36.464612108956146,167.73375397967175,24
zero,Expanded DML,N3,Hsin,38.59605152216265,114.47925184527412,24
zero,Expanded DML,N3,Hstep,34.62655152385097,114.30647686054,24
zero,Expanded DML + graph control,N1,Hbrn,3.896134699299276,19.068078347163322,24
zero,Expanded DML + graph control,N1,Hdec,5.425919733113926,44.439007430503096,24
zero,Expanded DML + graph control,N1,Hprbs,4.363171113642944,15.131127522305038,24
zero,Expanded DML + graph control,N1,Hsin,3.953213918893878,29.860442517687478,24
zero,Expanded DML + graph control,N1,Hstep,3.9858850641288925,20.190674720214997,24
zero,Expanded DML + graph control,N2,Hbrn,3.3055051534398885,17.807510915477053,24
zero,Expanded DML + graph control,N2,Hdec,5.0313989040426925,30.028856976729852,24
zero,Expanded DML + graph control,N2,Hprbs,4.353913549561289,13.648766023765788,24
zero,Expanded DML + graph control,N2,Hsin,3.9250683924835497,16.1148413927952,24
zero,Expanded DML + graph control,N2,Hstep,4.46797475415836,26.34875372879887,24
zero,Expanded DML + graph control,N3,Hbrn,3.1241408165175937,13.564942580475712,24
zero,Expanded DML + graph control,N3,Hdec,5.999897680376386,98.81478962628172,24
zero,Expanded DML + graph control,N3,Hprbs,2.0865607226971377,9.30144837371597,24
zero,Expanded DML + graph control,N3,Hsin,2.8510464858865157,8.189448324127632,24
zero,Expanded DML + graph control,N3,Hstep,1.8564410176290451,7.616625113129377,24
zero,Expanded DML + graph zero,N1,Hbrn,5.511052272484469,14.571853061701404,24
zero,Expanded DML + graph zero,N1,Hdec,23.202719322975327,87.21182753704488,24
zero,Expanded DML + graph zero,N1,Hprbs,10.176110378765012,54.33355569047853,24
zero,Expanded DML + graph zero,N1,Hsin,9.298328315078018,46.73493823595345,24
zero,Expanded DML + graph zero,N1,Hstep,19.747459526648452,88.5818434668472,24
zero,Expanded DML + graph zero,N2,Hbrn,5.899019127892493,20.111195884557677,24
zero,Expanded DML + graph zero,N2,Hdec,23.565083523827344,87.86375221377239,24
zero,Expanded DML + graph zero,N2,Hprbs,10.10223149616426,54.597602696710965,24
zero,Expanded DML + graph zero,N2,Hsin,9.385391737433622,46.19666164251976,24
