regime,method,noise,h_profile,t1_t2_mean_absolute_error,t3_t4_mean_absolute_error,t1_t2_over_t3_t4_ratio
var,Average LSE + graph zero,N3,Hbrn,0.2445309755611299,0.06538173936307795,3.7400500192140838
var,Average LSE + graph zero,N3,Hdec,0.03492231273931279,0.07035743758387794,0.4963556652795875
var,Average LSE + graph zero,N3,Hprbs,0.1481471166033321,0.07769152615511316,1.9068632569728714
var,Average LSE + graph zero,N3,Hsin,0.13489199457075535,0.0715693433745284,1.8847733989238127
var,Average LSE + graph zero,N3,Hstep,0.04237491350069647,0.055147472448523784,0.7683926682270057
var,Average LSE + graph control,N1,Hbrn,0.04758359387985031,0.06127572899914803,0.7765488009210287
var,Average LSE + graph control,N1,Hdec,0.09384133703312782,0.07090621668292052,1.323457115936236
var,Average LSE + graph control,N1,Hprbs,0.10192775223637356,0.08182922292371679,1.2456155465559426
var,Average LSE + graph control,N1,Hsin,0.10420831868179822,0.06857714670347481,1.5195779307119812
var,Average LSE + graph control,N1,Hstep,0.09223303886722471,0.07233925671189154,1.2750067260791045
var,Average LSE + graph control,N2,Hbrn,0.045590655362102855,0.058606431073270855,0.7779121595905502
var,Average LSE + graph control,N2,Hdec,0.09690035465182523,0.07719487993613935,1.2552691931380362
var,Average LSE + graph control,N2,Hprbs,0.10537866674886573,0.08874381001538914,1.1874480792586202
var,Average LSE + graph control,N2,Hsin,0.15340594286153433,0.07837766432750448,1.9572660677986131
var,Average LSE + graph control,N2,Hstep,0.09462578656383791,0.08029666027644321,1.1784523321152183
var,Average LSE + graph control,N3,Hbrn,0.14942191165500465,0.06743370191311154,2.215834329361527
var,Average LSE + graph control,N3,Hdec,0.04046863215209151,0.06525185644489448,0.6201912766461667
var,Average LSE + graph control,N3,Hprbs,0.13891278923342693,0.06637839531352278,2.0927409976891567
var,Average LSE + graph control,N3,Hsin,0.14763397292911004,0.06714649286104366,2.198684795565291
var,Average LSE + graph control,N3,Hstep,0.05232887226272659,0.050074840549780356,1.0450132579195226
var,Expanded LSE,N1,Hbrn,0.37633020903833186,0.19962530609888102,1.8851828778257356
var,Expanded LSE,N1,Hdec,0.34560141709959896,0.20072419701580443,1.7217725727027684
var,Expanded LSE,N1,Hprbs,0.20320646851117577,0.1900963462861382,1.0689656717825806
var,Expanded LSE,N1,Hsin,1.1218934306232469,0.23866121802202517,4.700778115193024
var,Expanded LSE,N1,Hstep,0.37973187667795344,0.24456764766064978,1.5526660223058244
var,Expanded LSE,N2,Hbrn,0.37336728845918765,0.19850987582292387,1.880849942157242
var,Expanded LSE,N2,Hdec,0.3508622498955321,0.19576636204646095,1.7922499362391098
var,Expanded LSE,N2,Hprbs,0.20671060372242556,0.1973562335986861,1.047398402133885
var,Expanded LSE,N2,Hsin,1.1209463150652612,0.24281600441053672,4.6164432932931465
var,Expanded LSE,N2,Hstep,0.380750822538775,0.2575589814861432,1.4783053588028714
var,Expanded LSE,N3,Hbrn,0.4005219423763782,0.09679306830183855,4.1379196816800405
var,Expanded LSE,N3,Hdec,0.18694113565514142,0.11014595214889597,1.697212943444651
var,Expanded LSE,N3,Hprbs,0.24452862790925536,0.14179656694245202,1.7245031609862391
var,Expanded LSE,N3,Hsin,1.2576590714174416,0.11752974213794133,10.700772830262512
var,Expanded LSE,N3,Hstep,0.22000831332944315,0.08292109469984633,2.65322490164678
var,Expanded LSE + graph zero,N1,Hbrn,0.20244068522917238,0.1025265515291697,1.9745195972145444
var,Expanded LSE + graph zero,N1,Hdec,0.34560141709959896,0.20072419701580443,1.7217725727027684
var,Expanded LSE + graph zero,N1,Hprbs,0.20320646851117577,0.1900963462861382,1.0689656717825806
var,Expanded LSE + graph zero,N1,Hsin,0.7168218389728496,0.19252349963740634,3.723295287707178
var,Expanded LSE + graph zero,N1,Hstep,0.37973187667795344,0.24456764766064978,1.5526660223058244
var,Expanded LSE + graph zero,N2,Hbrn,0.20637073482029725,0.10221714486194844,2.018944425605075
var,Expanded LSE + graph zero,N2,Hdec,0.3508622498955321,0.19576636204646095,1.7922499362391098
var,Expanded LSE + graph zero,N2,Hprbs,0.20671060372242556,0.1973562335986861,1.047398402133885
var,Expanded LSE + graph zero,N2,Hsin,1.1209463150652612,0.24281600441053672,4.6164432932931465
var,Expanded LSE + graph zero,N2,Hstep,0.380750822538775,0.2575589814861432,1.4783053588028714
var,Expanded LSE + graph zero,N3,Hbrn,0.4005219423763782,0.09679306830183855,4.1379196816800405
var,Expanded LSE + graph zero,N3,Hdec,0.026311305178163602,0.10084715412465428,0.2609028029253156
var,Expanded LSE + graph zero,N3,Hprbs,0.21995251405440708,0.13104332060384954,1.6784717682737484
var,Expanded LSE + graph zero,N3,Hsin,1.2576590714174416,0.09570132240804943,13.141501494149258
var,Expanded LSE + graph zero,N3,Hstep,0.15064215534436254,0.05952802964547536,2.5306087945716618
var,Expanded LSE + graph control,N1,Hbrn,0.3344617111967204,0.1126201519898133,2.969821166881155
var,Expanded LSE + graph control,N1,Hdec,0.3456014170995986,0.20072419701580618,1.7217725727027515
var,Expanded LSE + graph control,N1,Hprbs,0.20320646851117566,0.19009634628613814,1.0689656717825802
var,Expanded LSE + graph control,N1,Hsin,0.6237337109275367,0.16494899441958433,3.781373224628043
var,Expanded LSE + graph control,N1,Hstep,0.37973187667795233,0.2445676476606506,1.5526660223058146
var,Expanded LSE + graph control,N2,Hbrn,0.3372597591449118,0.10516914853790432,3.20683169763763
var,Expanded LSE + graph control,N2,Hdec,0.3508622498955318,0.1957663620464621,1.7922499362390973
var,Expanded LSE + graph control,N2,Hprbs,0.20671060372242764,0.19735623359868706,1.0473984021338905
var,Expanded LSE + graph control,N2,Hsin,1.1209463150652628,0.24281600441053783,4.616443293293131
var,Expanded LSE + graph control,N2,Hstep,0.38075082253877324,0.25755898148614215,1.4783053588028705
var,Expanded LSE + graph control,N3,Hbrn,0.40052194237637756,0.0967930683018387,4.137919681680027
var,Expanded LSE + graph control,N3,Hdec,0.03849641922185221,0.09712006010332683,0.39637968902506393
var,Expanded LSE + graph control,N3,Hprbs,0.17503095440695973,0.1137502833847959,1.5387298316863336
var,Expanded LSE + graph control,N3,Hsin,1.2456245815264044,0.07485206556462518,16.641151745518194
var,Expanded LSE + graph control,N3,Hstep,0.12784850055602087,0.056407159349964014,2.266529675121859
var,Linear state-space estimator,N1,Hbrn,0.01222919941069589,0.0022034673493807715,5.5499798597572125
var,Linear state-space estimator,N1,Hdec,0.9240014663632088,0.004962540263960135,186.19525831833766
var,Linear state-space estimator,N1,Hprbs,0.6661392909155849,0.0032039371270535634,207.9127225346605
var,Linear state-space estimator,N1,Hsin,0.09669413495172903,0.004396996590943337,21.990950630003592
var,Linear state-space estimator,N1,Hstep,0.6235498398884863,0.004799546788567256,129.91848342302052
var,Linear state-space estimator,N2,Hbrn,0.012564227351820036,0.0021634540805702033,5.807485106644181
var,Linear state-space estimator,N2,Hdec,0.9229543229014857,0.004878331097652566,189.19468654876823
var,Linear state-space estimator,N2,Hprbs,0.6634415779553,0.0033543189643965815,197.78726620729955
var,Linear state-space estimator,N2,Hsin,0.09642285950652925,0.004411807596111611,21.855635679015663
var,Linear state-space estimator,N2,Hstep,0.6243003810416695,0.004870886300477838,128.16977086499125
var,Linear state-space estimator,N3,Hbrn,0.7584779080271227,0.277052738849371,2.7376661612412163
var,Linear state-space estimator,N3,Hdec,1.294625835352407,0.48077421876229093,2.6927937997284928
var,Linear state-space estimator,N3,Hprbs,1.2876023382900923,0.4525415383290621,2.8452688410534863
var,Linear state-space estimator,N3,Hsin,0.8929119849660125,0.4737473884939279,1.884785028165822
var,Linear state-space estimator,N3,Hstep,0.918681944318055,0.45513719974045336,2.01847255034733
var,Neural ODE,N1,Hbrn,0.04351978567537272,0.059232976507457465,0.7347222483390407
var,Neural ODE,N1,Hdec,0.3899152127570173,0.052240630523870936,7.463830525147446
var,Neural ODE,N1,Hprbs,1.611518099692366,0.06707875886976777,24.024268290668584
var,Neural ODE,N1,Hsin,0.5404014141036683,0.07830910781438163,6.900875634857155
var,Neural ODE,N1,Hstep,0.49318286585476323,0.09992421418345412,4.935569119906339
var,Neural ODE,N2,Hbrn,0.06946582354041522,0.07509787290332307,0.9250038763393706
var,Neural ODE,N2,Hdec,0.43783392593628023,0.029272459958662914,14.95719616849992
var,Neural ODE,N2,Hprbs,1.4770469033870393,0.11752560523562204,12.567873191767626
var,Neural ODE,N2,Hsin,1.8114543453142289,0.27175224824242245,6.665830207587766
var,Neural ODE,N2,Hstep,0.5328438925044137,0.0898183531722739,5.932461169516273
var,Neural ODE,N3,Hbrn,2.8094905243337815,1.2875610850721706,2.182025037030615
var,Neural ODE,N3,Hdec,2.041384982686223,1.2879051887478212,1.5850429057367026
var,Neural ODE,N3,Hprbs,4.953687184423239,1.220105731037548,4.060047468354029
var,Neural ODE,N3,Hsin,2.0428452149684526,0.49558378725525903,4.12209855831351
var,Neural ODE,N3,Hstep,4.184251643911097,1.0247343060981815,4.083255160884793
var,LSTM sequence model,N1,Hbrn,0.31851199624088633,0.11683503753413389,2.726168476197319
var,LSTM sequence model,N1,Hdec,0.4025364958765495,0.12982382835927742,3.100636462226032
var,LSTM sequence model,N1,Hprbs,0.621517292502689,0.0829620079158657,7.491589320415058
var,LSTM sequence model,N1,Hsin,0.21473147381532165,0.10517930780260565,2.0415752708538175
var,LSTM sequence model,N1,Hstep,0.28538786009488487,0.12509420427582896,2.2813835520757877
var,LSTM sequence model,N2,Hbrn,0.3057402711362992,0.13152153956692267,2.3246402995512994
var,LSTM sequence model,N2,Hdec,0.42346868819042,0.10399309770438014,4.07208456655661
var,LSTM sequence model,N2,Hprbs,0.6034974926404538,0.08487076258944025,7.1107820199502
var,LSTM sequence model,N2,Hsin,0.2810463936185985,0.11301990076739993,2.48669828685308
var,LSTM sequence model,N2,Hstep,0.5028554442335188,0.11470075400657313,4.384063980997908
var,LSTM sequence model,N3,Hbrn,0.6023257680542593,0.7012081631391158,0.8589828238134204
var,LSTM sequence model,N3,Hdec,0.4075151224157621,0.3906360762879957,1.0432091328792745
var,LSTM sequence model,N3,Hprbs,0.5551765158286152,0.4603515424479409,1.205983828959143
var,LSTM sequence model,N3,Hsin,0.5533057903773152,0.5625676350887298,0.9835364778673168
var,LSTM sequence model,N3,Hstep,0.45577850579416923,0.44135889845594634,1.0326709337653972
var,Linear residual DML,N1,Hbrn,0.035338944869444014,0.006564234476263317,5.3835591944851835
var,Linear residual DML,N1,Hdec,0.8846881915885104,0.008408761244756105,105.21028791728652
var,Linear residual DML,N1,Hprbs,0.6675629046798054,0.010703592515277506,62.368116473695736
var,Linear residual DML,N1,Hsin,0.01471302341560731,0.008539077220351212,1.723022644711739
var,Linear residual DML,N1,Hstep,0.8612036462126287,0.00829849481153133,103.77829543448372
var,Linear residual DML,N2,Hbrn,0.036097951649057644,0.006308900944893232,5.721749630302452
var,Linear residual DML,N2,Hdec,0.884702901492963,0.007127996324325691,124.11663267470274
var,Linear residual DML,N2,Hprbs,0.6670649556562727,0.01118555751044811,59.63627249094972
var,Linear residual DML,N2,Hsin,0.014698268219565075,0.007232833936234936,2.0321589503016133
var,Linear residual DML,N2,Hstep,0.8606533767910732,0.007060875709272226,121.89045838335284
