regime,method,t_outputs_mean_absolute_error,t_outputs_median_absolute_error,t_outputs_max_absolute_error,all_outputs_mean_absolute_error,t1_t2_mean_absolute_error,t3_t4_mean_absolute_error,t1_t2_over_t3_t4_ratio,worst_temperature_output,worst_temperature_output_mean_error,t1_mean_absolute_error,t2_mean_absolute_error,t3_mean_absolute_error,t4_mean_absolute_error
var,Linear residual DML + graph zero,0.3278468166929643,0.019953885725647602,2.909504884280942,0.5149149958725522,0.5766400234551321,0.0790536099307966,7.294290848449828,T1,0.6042170221250045,0.6042170221250045,0.5490630247852596,0.0860772067103094,0.07203001315128375
var,Linear residual DML + graph control,1.3951623490799712,0.4067552300465366,11.828958896871551,1.7782139570341884,2.4032541726925634,0.3870705254673786,6.2088276284811155,T2,2.4666960971654595,2.339812248219666,2.4666960971654595,0.4166965894277754,0.357444461506982
var,Expanded DML,0.3239368100094938,0.10945948447730139,2.8896904442935467,0.6649151833877884,0.5067596066335646,0.14111401338542276,3.591135950824806,T2,0.5253820645282746,0.4881371487388544,0.5253820645282746,0.16634046840035493,0.11588755837049042
var,Expanded DML + graph zero,0.26955034568052594,0.0772218441530304,2.6850941340795345,0.6286575405018099,0.43852301599032995,0.10057767537072206,4.360043263815411,T2,0.48707398044867556,0.38997205153198433,0.48707398044867556,0.09598435606655799,0.10517099467488614
var,Expanded DML + graph control,1.04321810182571,0.3438473030879441,9.661933379643967,2.0766334615270394,1.7749097101467606,0.31152649350466066,5.6974599180284695,T2,1.9462094408295627,1.6036099794639573,1.9462094408295627,0.3259084203163743,0.29714456669294714
var,RBF GP,3.473471053561922,0.10040478437253306,154.81435717169293,2.6014414655662255,2.2164238046673597,4.73051830245648,0.46853720099051455,T4,9.100797087419389,1.4155392064228356,3.0173084029118855,0.3602395174935713,9.100797087419389
var,Matern GP,0.603769344200628,0.04005093952907689,12.75295995660128,0.5299299067447997,1.054799407665441,0.15273928073581625,6.9058817259318035,T2,1.0953387091151718,1.0142601062157106,1.0953387091151718,0.1646270870854591,0.14085147438617343
zero,Average LSE,0.09359849760041923,0.047902275458867244,0.439519788743322,0.10733680428883352,0.11248345554110979,0.0747135396597287,1.505529734682607,T2,0.12168131029232306,0.10328560078989653,0.12168131029232306,0.07190369917874061,0.07752338014071677
zero,Average LSE + graph zero,0.09014978252627412,0.0421883545587224,0.439519788743322,0.10503766090607011,0.11052887304244731,0.0697706920101009,1.5841733808007197,T2,0.11980016136900985,0.10125758471588477,0.11980016136900985,0.06956100562120539,0.06998037839899644
zero,Average LSE + graph control,0.1524515169836978,0.09220545888821674,0.8800063071796327,0.19066916292395486,0.21342876201804642,0.09147427194934891,2.3332108304313817,T2,0.22141790140939716,0.20543962262669563,0.22141790140939716,0.11800429058321042,0.06494425331548749
zero,Expanded LSE,0.1980185189165348,0.12325768090323988,1.375971012300461,0.22676385384349515,0.27630761225081374,0.11972942558225587,2.3077669579312095,T1,0.28392570490248475,0.28392570490248475,0.26868951959914256,0.1103848290814812,0.12907402208303048
zero,Expanded LSE + graph zero,0.18845701355793898,0.1083752963570106,1.375971012300461,0.22038951693776462,0.2727046308482458,0.10420939626763238,2.616890996545849,T1,0.2818521768808461,0.2818521768808461,0.2635570848156455,0.10187765456067513,0.10654113797458958
zero,Expanded LSE + graph control,0.1868155693281954,0.10896023295184726,1.3759710123004663,0.2190345466409631,0.2697966708397017,0.10383446781668884,2.5983344116137372,T1,0.2794530405224493,0.2794530405224493,0.26014030115695436,0.10273321308295616,0.10493572255042155
zero,Linear state-space estimator,28.473234451948137,6.892335725168769,462.2729234910215,26.85173299648416,45.19644396876676,11.750024935129511,3.846497706880704,T1,54.23277353058595,54.23277353058595,36.16011440694754,15.558187924237727,7.941861946021293
zero,Neural ODE,64.54636983353437,8.22019948976959,1754.1357506024844,64.88406004466202,79.6236103665542,49.46912930051454,1.609561589064112,T2,90.14643161537987,69.1007891177287,90.14643161537987,55.197200159396246,43.741058441632845
zero,LSTM sequence model,0.6516701167347034,0.35363647141528776,3.4560137372016904,0.7830027556948355,0.7846857541979155,0.5186544792714912,1.512925821637741,T2,0.7971979093772165,0.7721735990186146,0.7971979093772165,0.5617641353840915,0.4755448231588906
zero,Linear residual DML,0.1446257710659885,0.10307671030160405,0.7858274390192207,0.16741304404933047,0.18210586351494723,0.10714567861703021,1.6996099690202766,T1,0.20625499151688567,0.20625499151688567,0.15795673551300876,0.12838630135608903,0.08590505587797144
zero,Linear residual DML + graph zero,0.13325956843485376,0.08466716343584693,0.7858274390192207,0.15983557562857392,0.17465527169762737,0.09186386517208041,1.9012401815497442,T1,0.1937179051907397,0.1937179051907397,0.15559263820451488,0.11554812911460145,0.06817960122955936
zero,Linear residual DML + graph control,2.009049042074876,0.7923328695883605,12.904951528350557,2.023309303666,3.1849759463981306,0.833122137751621,3.8229400013226735,T1,3.207783772159923,3.207783772159923,3.1621681206363395,0.8942902776129723,0.7719539978902704
zero,Expanded DML,22.590621136708975,6.9617895101609975,196.8258435584139,22.190845655741484,33.61061992568388,11.570622347734064,2.9048238647479514,T1,37.619578990288,37.619578990288,29.60166086107976,13.001627441720533,10.139617253747595
zero,Expanded DML + graph zero,21.20979396803286,5.98249908881553,196.8258435584139,21.270294209957406,31.332698913615086,11.086889022450626,2.82610377448239,T1,33.682377911316536,33.682377911316536,28.983019915913633,12.366144697814317,9.807633347086933
zero,Expanded DML + graph control,3.0027058511044937,1.344117473882517,98.81478962628172,3.9084181337247594,3.710793834485067,2.2946178677239177,1.6171729012839449,T2,3.8009617646085756,3.620625904361556,3.8009617646085756,3.3813138895521115,1.2079218458957253
zero,RBF GP,0.29297166775015476,0.0073922727336806,4.688857279058367,0.6677346189831925,0.421365885749623,0.16457744975068644,2.560289312952278,T1,0.5640809941291441,0.5640809941291441,0.2786507773701014,0.17198022463739956,0.15717467486397327
zero,Matern GP,0.24834667576655872,0.15164973645566726,2.2374811238468286,0.33738367368997274,0.29449127350958465,0.2022020780235326,1.456420608473229,T1,0.3272134913050339,0.3272134913050339,0.26176905571413517,0.2289269906452128,0.1754771654018526
