regime,method,output,count,mean_absolute_error,median_absolute_error,max_absolute_error
zero,Average LSE + graph zero,C,60,0.06726838254968118,0.06318718118510436,0.217551451266925
zero,Average LSE + graph zero,P,60,0.2023584527816424,0.21600061555569816,0.4361262774108887
zero,Average LSE + graph zero,T1,60,0.10125758471588477,0.0410286038372238,0.439519788743322
zero,Average LSE + graph zero,T2,60,0.11980016136900985,0.1074882646917187,0.30305885603476845
zero,Average LSE + graph zero,T3,60,0.06956100562120539,0.033645383193722844,0.2894391339610767
zero,Average LSE + graph zero,T4,60,0.06998037839899644,0.02581339496619335,0.25790685712746075
zero,Expanded DML,C,60,20.139792372076577,14.993062514578924,95.14124896076737
zero,Expanded DML,P,60,22.64279701553643,14.788487013502161,142.59778778185137
zero,Expanded DML,T1,60,37.619578990288,29.345475658541545,196.8258435584139
zero,Expanded DML,T2,60,29.60166086107976,22.80004306709452,114.30647686054
zero,Expanded DML,T3,60,13.001627441720533,3.603397012953792,100.02273669280112
zero,Expanded DML,T4,60,10.139617253747595,2.8290608412025904,52.49240926094353
zero,Expanded DML + graph control,C,60,2.852883525569489,2.501720074660923,17.08445038284661
zero,Expanded DML + graph control,P,60,8.586801872361093,4.413963409418743,44.439007430503096
zero,Expanded DML + graph control,T1,60,3.620625904361556,2.3753949768236673,11.133430566811782
zero,Expanded DML + graph control,T2,60,3.8009617646085756,3.1470717415974283,13.648766023765788
zero,Expanded DML + graph control,T3,60,3.3813138895521115,0.5085734110555835,98.81478962628172
zero,Expanded DML + graph control,T4,60,1.2079218458957253,0.5127782464159525,10.20803304880743
zero,Expanded DML + graph zero,C,60,20.139792372076577,14.993062514578924,95.14124896076737
zero,Expanded DML + graph zero,P,60,22.64279701553643,14.788487013502161,142.59778778185137
zero,Expanded DML + graph zero,T1,60,33.682377911316536,26.100092396256514,196.8258435584139
zero,Expanded DML + graph zero,T2,60,28.983019915913633,20.7450910484622,114.30647686054
zero,Expanded DML + graph zero,T3,60,12.366144697814317,3.2348055088805268,100.02273669280112
zero,Expanded DML + graph zero,T4,60,9.807633347086933,2.312566304623033,52.49240926094353
zero,Expanded LSE,C,60,0.16079371273399135,0.1243848957217093,0.6172183321967233
zero,Expanded LSE,P,60,0.4077153346608406,0.41653988009132803,0.8217984427208975
zero,Expanded LSE,T1,60,0.28392570490248475,0.2093951122446553,1.375971012300461
zero,Expanded LSE,T2,60,0.26868951959914256,0.18675136748770116,1.1648766477500012
zero,Expanded LSE,T3,60,0.1103848290814812,0.09606814644902245,0.3819262025026795
zero,Expanded LSE,T4,60,0.12907402208303048,0.09528294297630199,0.37669651642250557
zero,Expanded LSE + graph control,C,60,0.16000009942437338,0.12438489572170996,0.6172183321967244
zero,Expanded LSE + graph control,P,60,0.40694490310862436,0.4290407981510995,0.8217984427208709
zero,Expanded LSE + graph control,T1,60,0.2794530405224493,0.2093951122446589,1.3759710123004663
zero,Expanded LSE + graph control,T2,60,0.26014030115695436,0.18675136748770202,1.1648766477500103
zero,Expanded LSE + graph control,T3,60,0.10273321308295616,0.07182224548229765,0.3819262025026795
zero,Expanded LSE + graph control,T4,60,0.10493572255042155,0.05423253164691625,0.3872806999868246
zero,Expanded LSE + graph zero,C,60,0.16079371273399135,0.1243848957217093,0.6172183321967233
zero,Expanded LSE + graph zero,P,60,0.4077153346608406,0.41653988009132803,0.8217984427208975
zero,Expanded LSE + graph zero,T1,60,0.2818521768808461,0.2093951122446553,1.375971012300461
zero,Expanded LSE + graph zero,T2,60,0.2635570848156455,0.18675136748770116,1.1648766477500012
zero,Expanded LSE + graph zero,T3,60,0.10187765456067513,0.07182224548229074,0.3819262025026795
zero,Expanded LSE + graph zero,T4,60,0.10654113797458958,0.0542325316469149,0.37669651642250557
zero,LSTM sequence model,C,60,0.47997095693915626,0.4695691358685081,1.550889944976713
zero,LSTM sequence model,P,60,1.6113651102910438,1.4164963855743409,3.706646036267281
zero,LSTM sequence model,T1,60,0.7721735990186146,0.4840989903289519,3.4560137372016904
zero,LSTM sequence model,T2,60,0.7971979093772165,0.5438729590045696,3.32936541557312
zero,LSTM sequence model,T3,60,0.5617641353840915,0.2881652508890547,2.6609526462554944
zero,LSTM sequence model,T4,60,0.4755448231588906,0.27672880160319613,2.3844072608947764
zero,Linear residual DML,C,60,0.09799657784156207,0.06588944177156142,0.4526701759747258
